crmrte,prbarr,prbconv,prbpris,polpc,density,urban,awage,lawage,crime
0.0398849,0.289696,0.402062,0.472222,0.0017868,2.307159,0,257.4241,5.550724919,1
0.0383449,0.338111,0.433005,0.506993,0.0017666,2.330254,0,272.7497,5.608554525,1
0.0303048,0.330449,0.525703,0.479705,0.0018358,2.341801,0,396.5378,5.982771371,0
0.0347259,0.362525,0.604706,0.520104,0.0018859,2.34642,0,299.1779,5.70103838,1
0.036573,0.325395,0.578723,0.497059,0.0019244,2.364896,0,312.5454,5.744749739,1
0.0347524,0.326062,0.512324,0.439863,0.0018952,2.385681,0,324.4893,5.782252562,1
0.0356036,0.29827,0.527596,0.43617,0.0018279,2.422633,0,339.4323,5.827274516,1
0.0163921,0.202899,0.869048,0.465753,0.0005939,0.976834,0,231.073,5.442733678,0
0.0190651,0.162218,0.772152,0.377049,0.0007047,0.992278,0,257.8745,5.552473032,0
0.0151492,0.181586,1.02817,0.438356,0.0006587,1.003861,0,281.5681,5.640374337,0
0.0136621,0.194986,0.885714,0.5,0.0006089,1.015444,0,264.0111,5.575991148,0
0.0120346,0.206897,0.909091,0.366667,0.0006413,1.030888,0,510.3591,6.235114596,0
0.0129982,0.156069,1.03704,0.392857,0.0006762,1.034749,0,284.7852,5.651735212,0
0.0152532,0.132029,1.48148,0.45,0.0007459,1.046332,0,294.7643,5.686176054,0
0.0093372,0.406593,0.27027,0.5,0.0008209,0.4127659,0,204.0445,5.318338107,0
0.0123229,0.38,0.736842,0.392857,0.0013555,0.4170213,0,216.4189,5.377215881,0
0.0128064,0.561905,0.559322,0.272727,0.0013416,0.4170213,0,419.6425,6.039403158,0
0.0138299,0.666667,0.447368,0.411765,0.0013345,0.4170213,0,230.2418,5.439130061,0
0.0124753,0.60396,0.180328,0.545455,0.0014822,0.4127659,0,239.363,5.477981228,0
0.0142385,0.695652,0.270833,0.269231,0.001135,0.4127659,0,270.4311,5.600017352,0
0.0129603,0.444444,0.267857,0.6,0.0012343,0.4127659,0,283.7386,5.648053392,0
0.0219159,0.431095,0.627049,0.431373,0.0014327,0.4821764,0,240.0475,5.48083682,0
0.0173807,0.612335,0.582734,0.37037,0.0014165,0.4878049,0,255.5708,5.543499475,0
0.024211,0.419405,0.787313,0.236967,0.0014398,0.489681,0,288.9087,5.666110721,0
0.0223434,0.412458,0.497959,0.442623,0.0015046,0.4915572,0,277.077,5.624295446,0
0.0245848,0.380655,0.381148,0.483871,0.0015341,0.4934334,0,286.421,5.657462756,0
0.0241281,0.308057,0.615385,0.483333,0.0014103,0.4934334,0,304.6803,5.71926303,0
0.0267532,0.36476,0.525424,0.435484,0.0015299,0.4915572,0,313.6815,5.74837814,0
0.0075178,0.631579,0.555556,0.383333,0.0008353,0.5305164,0,215.7928,5.374318688,0
0.0087368,0.567164,0.640351,0.356164,0.0007389,0.5352113,0,218.8694,5.388475205,0
0.0136804,0.377358,0.525,0.428571,0.0008604,0.5399061,0,323.7171,5.779869986,0
0.0143262,0.41018,0.664234,0.395604,0.0009007,0.544601,0,255.6768,5.543914147,0
0.0133173,0.393548,0.622951,0.407895,0.0009021,0.5492958,0,276.2563,5.621329058,0
0.0114417,0.462687,0.596774,0.445946,0.0008539,0.544601,0,288.1134,5.663354153,0
0.0106232,0.518219,0.476563,0.442623,0.0008602,0.5469484,0,306.5819,5.72548493,0
0.0188472,0.36965,0.557895,0.226415,0.0019067,0.5910931,0,214.2175,5.366991854,0
0.0198536,0.425856,0.196429,0.363636,0.0013588,0.5951417,0,226.1194,5.421063178,0
0.0191668,0.354244,0.354167,0.323529,0.0019803,0.5991903,0,296.9784,5.693659409,0
0.0168042,0.446429,0.21,0.380952,0.0025506,0.6072875,0,250.044,5.521636902,0
0.0141194,0.530806,0.455357,0.27451,0.0024759,0.6072875,0,267.0735,5.587523901,0
0.0170081,0.401544,0.211538,0.363636,0.0028238,0.6072875,0,268.6125,5.593269821,0
0.0146067,0.524664,0.0683761,0.5,0.002882,0.6113361,0,287.3655,5.660754925,0
0.0300493,0.319665,0.481675,0.5,0.001207,0.4975787,0,232.1397,5.447339346,0
0.0363259,0.332885,0.430303,0.497653,0.0013436,0.5048426,0,243.2692,5.494168649,1
0.0325271,0.326021,0.491879,0.485849,0.0014763,0.5096852,0,356.7127,5.876930696,1
0.0301272,0.302176,0.522667,0.423469,0.0012138,0.5145279,0,268.3619,5.592336443,0
0.0349786,0.298962,0.381944,0.454545,0.0013556,0.5242131,0,283.204,5.646167486,1
0.033536,0.309206,0.522727,0.430435,0.0012726,0.5169492,0,305.8858,5.72321183,1
0.0296409,0.365004,0.520607,0.420833,0.0013377,0.5169492,0,307.4884,5.728437363,0
0.0168055,0.453258,0.575,0.48913,0.0009521,0.3009986,0,208.8441,5.341588041,0
0.0200047,0.444706,0.37037,0.442857,0.0008473,0.3024251,0,223.0799,5.407530003,0
0.0142092,0.383607,0.820513,0.604167,0.0008852,0.3052782,0,447.6838,6.10408718,0
0.016346,0.345714,0.487603,0.457627,0.0009341,0.3038516,0,249.7062,5.520285027,0
0.0160135,0.423977,0.565517,0.47561,0.0008896,0.3052782,0,267.1694,5.587882914,0
0.0194461,0.419277,0.626437,0.412844,0.0009372,0.3024251,0,280.824,5.637728139,0
0.0202814,0.392111,0.769231,0.507692,0.0010353,0.3009986,0,298.6384,5.699233477,0
0.0186469,0.483986,0.463235,0.460317,0.0013272,0.3492605,0,218.411,5.386378609,0
0.0211586,0.420155,0.476015,0.387597,0.001345,0.3492605,0,225.1298,5.416677125,0
0.0202915,0.3632,0.546256,0.427419,0.0012987,0.3481229,0,347.9548,5.852072586,0
0.0179276,0.422383,0.581197,0.404412,0.0012621,0.3503982,0,247.4417,5.511174999,0
0.0196959,0.464463,0.30605,0.453488,0.0013673,0.3503982,0,252.6329,5.531937447,0
0.0185879,0.395257,0.62,0.395161,0.0014327,0.3503982,0,270.922,5.601830957,0
0.0304289,0.251599,0.436441,0.436893,0.0012976,0.3503982,0,283.2791,5.646432631,0
0.0225338,0.326196,0.505792,0.40458,0.0019298,0.4337209,0,269.6964,5.597296882,0
0.0183782,0.189313,1.12903,0.435714,0.001936,0.4534884,0,278.8597,5.630708788,0
0.0145267,0.232283,0.855932,0.356436,0.0021733,0.4767442,0,251.1218,5.52593808,0
0.013686,0.217308,1.04425,0.457627,0.0019476,0.5046512,0,306.1321,5.724016708,0
0.0128511,0.291667,1.22078,0.356383,0.0018741,0.5302325,0,327.2657,5.790772379,0
0.0174337,0.244819,0.84127,0.36478,0.001784,0.555814,0,333.6281,5.8100269,0
0.0221567,0.16286,1.22561,0.333333,0.0020243,0.5767442,0,349.9108,5.857678265,0
0.0350348,0.262854,0.291417,0.541096,0.0018014,2.461305,1,265.7538,5.582570316,1
0.0367896,0.240573,0.297741,0.565517,0.0017689,2.485584,1,283.1252,5.645889203,1
0.0366069,0.245824,0.307129,0.611714,0.0016787,2.497724,1,381.9787,5.945364848,1
0.0384395,0.250543,0.296778,0.559499,0.0017722,2.52352,1,310.5638,5.738389355,1
0.0413296,0.258131,0.272985,0.469854,0.0019133,2.555387,1,321.0129,5.771481309,1
0.0441642,0.248385,0.288191,0.413534,0.0018719,2.579666,1,337.7596,5.8223344,1
0.0437355,0.23476,0.334701,0.429072,0.0018296,2.602428,1,361.0363,5.888978507,1
0.0319175,0.194303,0.28884,0.439394,0.0014249,1.452381,0,250.0725,5.521750876,1
0.0290211,0.286639,0.277419,0.47093,0.0013685,1.470238,0,267.4081,5.588775956,0
0.0286164,0.280522,0.307309,0.356757,0.0013735,1.468254,0,368.2135,5.908662933,0
0.02755,0.334615,0.310345,0.393519,0.0013643,1.484127,0,296.0894,5.690661436,0
0.0293095,0.287442,0.294498,0.472527,0.0014041,1.501984,0,306.6458,5.725693336,0
0.0256248,0.304577,0.322971,0.385027,0.0013884,1.507936,0,319.7313,5.767480956,0
0.0269836,0.289121,0.40378,0.365957,0.0014611,1.511905,0,333.2905,5.809014482,0
0.0360686,0.255969,0.458955,0.617886,0.0015847,2.406593,0,255.9425,5.54495281,1
0.0370917,0.256811,0.43385,0.626374,0.0016122,2.450549,0,273.9404,5.612910564,1
0.0312138,0.291217,0.372064,0.598007,0.0016854,2.478022,0,407.02,6.008862324,0
0.029444,0.277323,0.41555,0.554839,0.0016528,2.510989,0,307.3222,5.727896709,0
0.0305075,0.282043,0.453287,0.544529,0.0016077,2.532967,0,321.3127,5.772414792,0
0.0319331,0.301602,0.320735,0.493631,0.0018003,2.546703,0,334.9561,5.813999478,1
0.0302542,0.323548,0.40678,0.492647,0.0019714,2.574176,0,356.4523,5.87620043,0
0.0353349,0.26433,0.230889,0.547297,0.0013843,1.44586,0,240.3913,5.482268012,1
0.0371544,0.303606,0.206897,0.364198,0.0013686,1.447983,0,243.21,5.493925268,1
0.0294409,0.244152,0.40519,0.433498,0.0014347,1.43949,0,279.2509,5.632110661,0
0.0300368,0.247358,0.339806,0.4,0.0014427,1.464968,0,277.6052,5.62619996,0
0.0355283,0.221862,0.357664,0.505102,0.001424,1.492569,0,290.9186,5.673043503,1
0.0366744,0.217357,0.316547,0.397727,0.0013907,1.488323,0,305.3683,5.721518589,1
0.0382489,0.268018,0.352941,0.321429,0.0014501,1.498938,0,321.9994,5.774549682,1
0.020039,0.484561,0.303922,0.5,0.0006188,0.4953271,0,213.4179,5.363252215,0
0.0144477,0.485342,0.47651,0.478873,0.0006589,0.5046729,0,226.2718,5.421736932,0
0.0161148,0.248555,0.872093,0.52,0.000652,0.5093458,0,276.2294,5.62123168,0
0.0141497,0.259615,0.938272,0.421053,0.0005442,0.5163552,0,246.3568,5.506780892,0
0.0153797,0.21791,1.30137,0.484211,0.0007805,0.5233645,0,262.4585,5.570092974,0
0.0153723,0.255072,1.04545,0.413043,0.000802,0.5257009,0,269.7975,5.597671678,0
0.0159189,0.27095,0.515464,0.48,0.0007559,0.5257009,0,288.7571,5.66558585,0
0.0414138,0.287653,0.252358,0.53271,0.0017513,2.694444,0,270.5478,5.600448792,1
0.0489555,0.239077,0.234968,0.457912,0.0017501,2.724747,0,284.4726,5.65063694,1
0.0412081,0.285427,0.246672,0.511111,0.0017224,2.760101,0,393.7613,5.975744888,1
0.0404708,0.282276,0.27012,0.39233,0.0017568,2.800505,0,313.8267,5.748840923,1
0.0455489,0.260844,0.299924,0.450633,0.0017862,2.84596,0,332.1548,5.805601125,1
0.0417065,0.252281,0.284272,0.449704,0.0019468,2.883838,0,318.0069,5.762073081,1
0.0408569,0.266026,0.325301,0.37037,0.0018944,2.924242,0,367.7882,5.907507229,1
0.0223026,0.238786,0.712707,0.341085,0.0010886,0.480226,0,232.8301,5.450309003,0
0.0201309,0.325145,0.466667,0.390476,0.0011636,0.4844633,0,248.7978,5.516640518,0
0.0190303,0.30711,0.359606,0.369863,0.0011228,0.4872881,0,289.0619,5.666640852,0
0.0196145,0.303338,0.363636,0.407895,0.0012526,0.4957627,0,272.7092,5.608406026,0
0.0207011,0.371547,0.356877,0.53125,0.0012295,0.5,0,288.15,5.663481178,0
0.0252807,0.336689,0.451827,0.154412,0.0012725,0.5084746,0,312.9012,5.745887486,0
0.0226017,0.321867,0.385496,0.316832,0.001305,0.5127119,0,336.8734,5.819707192,0
0.0158129,0.291803,0.280899,0.4,0.0011406,0.4269912,0,207.8763,5.336943191,0
0.0188128,0.258856,0.357895,0.441176,0.0011277,0.4314159,0,226.5746,5.423074251,0
0.0168941,0.3003,0.43,0.348837,0.0011669,0.4336283,0,545.8327,6.302312519,0
0.0142249,0.299296,0.458824,0.512821,0.0010018,0.4424779,0,259.014,5.556882114,0
0.0130587,0.286822,0.783784,0.258621,0.0011135,0.4469027,0,255.0626,5.541509005,0
0.0113079,0.20354,1.06522,0.44898,0.0010007,0.449115,0,279.1099,5.631605611,0
0.0119154,0.308333,0.972973,0.291667,0.0011915,0.4623894,0,290.0026,5.669889888,0
0.0365365,0.389247,0.243094,0.659091,0.0017286,0.6923077,0,241.6891,5.487652189,1
0.0304537,0.423469,0.39759,0.560606,0.0017091,0.6923077,0,247.8166,5.512688956,0
0.0220667,0.463415,0.496241,0.333333,0.0017684,0.6978022,0,389.8243,5.965696125,0
0.0158939,0.463415,0.536842,0.45098,0.0017057,0.7142857,0,271.6058,5.60435175,0
0.0125242,0.549383,0.651685,0.5,0.0016235,0.7252747,0,280.4044,5.636232847,0
0.0246998,0.332308,0.25,0.555556,0.001748,0.7362638,0,294.8609,5.68650372,0
0.0257713,0.307246,0.45283,0.520833,0.001494,0.7417582,0,318.2501,5.762837552,0
0.0344852,0.21688,0.457735,0.425087,0.0011571,1.790598,0,254.5855,5.539636732,1
0.0319727,0.219476,0.327731,0.533333,0.001144,1.792735,0,265.764,5.582608697,1
0.0351112,0.229739,0.278426,0.502618,0.0011406,1.790598,0,397.3216,5.984746028,1
0.0376378,0.238544,0.364474,0.516245,0.0011813,1.814103,0,293.625,5.682303443,1
0.03854,0.215789,0.321377,0.53125,0.0011813,1.84188,0,306.4944,5.725199484,1
0.0312755,0.278193,0.302013,0.56,0.0011912,1.839744,0,323.0347,5.777759748,0
0.0362807,0.202627,0.450567,0.47482,0.0012153,1.844017,0,341.0167,5.83193145,1
0.0319193,0.302526,0.368635,0.458564,0.0019077,0.5501066,0,230.0155,5.438146698,1
0.0305205,0.336927,0.538,0.371747,0.0018921,0.5479744,0,248.073,5.513723058,0
0.0291268,0.210342,0.647841,0.328205,0.0019336,0.5501066,0,506.615,6.227751346,0
0.0296451,0.178862,0.579545,0.385621,0.0019081,0.5533049,0,282.2088,5.642647222,0
0.0293452,0.235624,0.625,0.385714,0.0020167,0.5554371,0,295.0711,5.687216344,0
0.031931,0.188847,0.691275,0.34466,0.0019223,0.5575693,0,333.9485,5.810986789,1
0.0313623,0.182927,0.763333,0.270742,0.0012813,0.5639659,0,324.8936,5.783497744,0
0.0359381,0.270776,0.309798,0.432558,0.0011919,1.024251,0,246.5685,5.507639845,1
0.0361096,0.310412,0.340426,0.408088,0.0013467,1.048502,0,257.67,5.551679696,1
0.0359286,0.272624,0.315278,0.418502,0.0014829,1.064194,0,337.3075,5.820994977,1
0.0319024,0.326141,0.361323,0.40493,0.0015091,1.095578,0,278.7076,5.630163204,1
0.030183,0.322888,0.398031,0.392226,0.0015352,1.132668,0,296.144,5.690845823,0
0.0320147,0.253112,0.462295,0.375887,0.0014745,1.14408,0,312.3655,5.744173977,1
0.0374979,0.26442,0.371879,0.35689,0.0014853,1.14408,0,329.6237,5.797951701,1
0.0630904,0.201316,0.262496,0.481437,0.0014254,3.7793,1,246.3062,5.506575477,1
0.0628671,0.223799,0.257295,0.417666,0.0014883,3.7793,1,264.3788,5.577382923,1
0.060056,0.214351,0.27041,0.417508,0.0014377,3.817352,1,365.8921,5.902338481,1
0.0591762,0.1901,0.322122,0.449946,0.0014549,3.866058,1,293.2251,5.680940573,1
0.0712392,0.171519,0.308015,0.413636,0.0016594,3.888889,1,307.6274,5.72888931,1
0.0704214,0.166131,0.275701,0.424939,0.0014956,3.913242,1,324.6006,5.782595504,1
0.0883849,0.155248,0.259833,0.407628,0.001908,3.934551,1,340.9749,5.831808868,1
0.0196669,0.252252,1.21429,0.176471,0.0008859,0.4414063,0,194.5675,5.270779147,0
0.0199702,0.184211,0.690476,0.241379,0.0009635,0.4570313,0,198.8374,5.292487405,0
0.0222781,0.217899,0.642857,0.194444,0.0008669,0.4882813,0,395.5205,5.980202619,0
0.0138866,0.228916,0.921053,0.371429,0.0009202,0.5039063,0,235.7891,5.462937761,0
0.0170847,0.159091,1.05714,0.378378,0.0008542,0.5039063,0,244.3449,5.498580752,0
0.0138049,0.337079,0.5,0.333333,0.0009307,0.5234375,0,266.1433,5.584034886,0
0.0140655,0.303191,0.140351,0.25,0.0011222,0.5351563,0,280.1138,5.635195949,0
0.0397498,0.143426,0.944444,0.367647,0.0032465,0.3606138,0,211.1699,5.352663023,1
0.0467392,0.164154,0.561224,0.454545,0.0032882,0.3759591,0,225.1106,5.416591837,1
0.0530843,0.134307,0.543478,0.34,0.0033323,0.3913043,0,381.5725,5.944300872,1
0.0504352,0.180501,0.335766,0.26087,0.0029902,0.4143223,0,255.3661,5.542698202,1
0.0635231,0.202885,0.241706,0.490196,0.0036037,0.4424552,0,264.3799,5.577387084,1
0.074755,0.257564,0.253012,0.25,0.0040596,0.4782609,0,293.8034,5.682910836,1
0.0790163,0.224628,0.207831,0.304348,0.0040096,0.5115089,0,310.7119,5.738866116,1
0.0368013,0.205165,0.533487,0.41342,0.0013775,2.087591,0,244.5441,5.499395661,1
0.0312481,0.281931,0.52544,0.376164,0.0013448,2.104015,0,260.3219,5.561918942,0
0.0290823,0.275154,0.47548,0.376682,0.0013052,2.114964,0,345.9195,5.846206089,0
0.0258322,0.29059,0.489168,0.30303,0.0013524,2.144161,0,287.6405,5.661711437,0
0.0259898,0.303672,0.48366,0.326577,0.0013412,2.164234,0,305.401,5.721625667,0
0.027782,0.291425,0.522513,0.330661,0.0013819,2.20073,0,319.2465,5.765963532,0
0.0300216,0.222002,0.736909,0.320624,0.0013619,2.251825,0,336.5108,5.818630244,0
0.0183936,0.257642,0.601695,0.56338,0.0010442,0.9513109,0,236.6779,5.466700145,0
0.016081,0.209877,0.729412,0.387097,0.0009927,0.9700375,0,246.9809,5.509311006,0
0.0159541,0.23399,0.789474,0.333333,0.001061,0.9925094,0,285.1728,5.653095312,0
0.0160226,0.301176,0.554688,0.323944,0.0010933,1.007491,0,275.7289,5.619418137,0
0.015924,0.231651,1.22772,0.241935,0.0008765,1.037453,0,288.0242,5.663044504,0
0.0193287,0.796262,0.13615,0.431034,0.0010477,1.011236,0,302.7203,5.712809277,0
0.0233327,0.227753,0.622517,0.425532,0.0011965,1.026217,0,322.4152,5.775840156,0
0.0248057,0.1917,0.912371,0.39548,0.0012501,0.4981685,0,218.4306,5.386468344,0
0.0225081,0.279781,0.628906,0.447205,0.0013284,0.5006105,0,235.0661,5.459866751,0
0.0177485,0.411523,0.546667,0.481707,0.0015338,0.5018315,0,488.3295,6.190990383,0
0.0169917,0.396527,0.547445,0.4,0.001377,0.5079365,0,250.5922,5.523826917,0
0.0179394,0.495924,0.454795,0.391566,0.0013649,0.5079365,0,272.7788,5.60866121,0
0.0215632,0.343537,0.640264,0.350515,0.0014913,0.5091575,0,287.0262,5.659573501,0
0.0233677,0.398119,0.493438,0.361702,0.0014162,0.5079365,0,291.2081,5.674038132,0
0.0813022,0.157454,0.270823,0.388679,0.0022306,5.177852,1,292.7813,5.679425914,1
0.0785857,0.155625,0.313591,0.394604,0.0024576,5.214765,1,319.2212,5.765884279,1
0.0760822,0.140742,0.349671,0.417094,0.0025922,5.2651,1,381.9971,5.945413017,1
0.073959,0.12898,0.405121,0.465154,0.0027058,5.345638,1,584.9499,6.371526203,1
0.0703023,0.142794,0.519003,0.40096,0.0023205,5.426175,1,381.6037,5.944382636,1
0.0690603,0.113018,0.509539,0.424337,0.0023762,5.563758,1,406.1325,6.006679461,1
0.0706599,0.133225,0.459216,0.363636,0.0023761,5.674497,1,439.1508,6.084842862,1
0.054168,0.130332,0.524675,0.480198,0.0010269,1.118577,0,258.8059,5.55607836,1
0.0524684,0.158604,0.566449,0.538462,0.0010153,1.126482,0,276.4125,5.621894315,1
0.0458803,0.15526,0.397985,0.462025,0.0009869,1.132411,0,271.4232,5.603679226,1
0.0481331,0.135991,0.646575,0.580508,0.0010581,1.144269,0,302.8312,5.713175555,1
0.0603418,0.311758,0.140317,0.38914,0.0006569,1.156126,0,321.3267,5.772458363,1
0.0636435,0.286722,0.141192,0.426606,0.00065,1.166008,0,332.3667,5.806238877,1
